,txt,label
74,Proposed Chennai-Salem Highway On Shaky Ground As Protests Rise,1
75,"""To All The Parents..."": Thai Coach's Handwritten Note From Cave",1
76,US Judge Orders List Of Children Separated From Migrant Parents,1
77,Shashi Tharoor Appears In Court In Sunanda Pushkar Death Case,1
78,"US Man Calls Police On Black Woman At Pool, Gets Sacked",1
79,"""BJP Believes Only In <i>Vikas, Vikas</i> And <i>Vikas</i>"": PM Modi In Rajasthan",1
80,Twitter Is Sweeping Out Fake Accounts Like Never Before,1
81,Green Corridor Provided For Organ Transport From Delhi Airport To AIIMS,1
82,"From Chilean Miners To Elon Musk, World Watches Cave Rescue Of Thai Boys",1
83,"Donald Trump Will See Castles And Gardens In Britain, Avoiding Protests",1
84,"Manish Sisodia's ""Aam"" Joke At Delhi Mango Fest",1
85,Southern Syria Rebels Agree To Russia-Brokered Surrender deal,1
86,"Mob Throws Murder Accused, Policeman From Terrace In Nalanda",1
87,Man Arrested In Delhi For Duping Man With Job Promise,1
88,"Emergency Was In Mind While Writing Order, Says Former Top Court Judge",1
89,Police Say Burari Family's Lalit Was Interested In Ghosts And Spirits,1
90,"Not Just Space, ISRO Will Now Help Map Crime In UP",1
91,"Mumbai Man Climbs TV Tower, Asks Police To Call Journalists",1
92,12 Thai Boys Not Ready To Dive Out Of Cave: Authorities,1
93,"At Key JD(U) Meet Today, Nitish Kumar To Strategise Amid Strain With BJP",1
94,5-Judge Constitution Bench Of Supreme Court To Hear Plea On Gay Sex Law,1
95,Space Tech From ISRO To Help UP Police Map Crimes,1
96,"Simultaneous Polls Will Weaken Regional Parties, Says TDP",1
97,Probe Into Baby Sale At Ranchi's Missionaries Of Charity To Widen: Police,1
98,"""Why Not Complying With Order"": High Court Asks West Bengal Government",1
99,Ambala Man Arrested For Raping 17-Year-Old Daughter,1
100,Supreme Court Admits Plea Of Sikh Cyclist Who Alleged Discrimination,1
101,Donald Trump To Avoid London Protests With Tour Of English Country Homes,1
102,"""Status Quo Is Not The Answer"": Sushma Swaraj Tells Delhi Passport Office",1
103,"""You Don't Know Who You're Talking To"": Congress Leader Tells Traffic Cop",1
104,Attorney General Wants Retirement Age Of Judges Increased,1
105,"No Non-BJP Front Possible Before Election Results, Says Sitaram Yechury",1
106,How A Security Personnel Saved Life Of US Passenger At Delhi Airport,1
107,"Gujarat Police Files Complaint Against ""Unknown Ghost' In Suicide Case",1
108,2 Central GST Officials Caught In Rs 43 Crores Fake Invoices Case,1
109,Gujarat Fisherman Who Died In Pakistan Jail In March Cremated Yesterday,1
110,"Justice AK Goel, Who Retires From Top Court, Appointed National Green Tribunal Chairperson",1
111,Mumbai Civic Body Stops Water Supply To Club Over Rs 221-Crore Dues,1
112,"""I'm Cementing Force, Will Keep Bihar Coalition Intact"": Ram Vilas Paswan",1
113,Competition Between BJP And Rupee To See Who Will Fall Lower: Congress,1
114,"Organs Of BJP Youth Leader Who Died To ""Prove Love"" Donated By Family",1
115,"In Jammu And Kashmir, Salaries Of Absentee Government Employees Withheld",1
116,"Ram Madav Disapproves ""Abuses, Death Wishes"" Against Sushma Swaraj",1
117,Woman Sets Herself On Fire; Family Says She Was Possessed By Evil Spirit,1
118,Sons Shoot Man Dead For Allegedly Having Affair With Daughter-In-Law,1
119,"Justice AK Goel, Who Ruled On Dalit Atrocities Law, Retires From Top Court",1
120,"Justice AK Goel, Who Ruled On Dalit Atrocities Law, Retires From Top Court",1
121,Punjab Speaker Rana K P Singh Voluntarily Undergoes Dope Test,1
122,"Dhule Mob Had Threatened To Set Ablaze Cops, Their Vehicle: Officials",1
123,"Heavy Rains Paralyse Nagpur, Schools To Remain Shut Tomorrow",1
124,Minister Jayant Sinha Garlands 8 Men Who Killed Meat Trader In Jharkhand,1
125,What India Can Learn From China To Improve Its Air Quality,1
126,Real Verdict Will Be On Pak Election Day: Maryam Sharif After Conviction,1
127,Will Challenge Panel Recommendation Upholding Rustication: Umar Khalid,1
128,Vijay Mallya Rejects Reports That He Is Selling Force India,1
129,"Woman, 2 Children Allegedly Burnt Alive By In-Laws For Dowry In Lucknow",1
130,"Bihar Teen Raped For Months Allegedly By 18 Including Principal, Teachers",1
131,"""MSP Increase Band-Aid To Massive Hemorrhage"": Rahul Gandhi's Dig At PM",1
132,"As India Battles Monsoon Crisis, Meet Scientists Who Are Making It Rain",1
133,"""Try To Run House Like A Mother,"" Says Lok Sabha Speaker Sumitra Mahajan",1
134,2 Retired Bank Of India Officers Arrested In Alleged Rs 2654-Crore Fraud,1
135,7 Suspected Al-Qaeda Fighters Killed In Yemen Drone Strike,1
136,22 Kids Shifted From Shelter Home Run By Mother Teresa Charity,1
137,American Tourist Molested By Yoga Teacher In Rishikesh,1
138,"At Slain Policeman's Funeral In Jammu And Kashmir, Scores Pay Homage",1
139,Oil Price Spike Or Ignore Donald Trump: China And India's Big Decision,1
140,"IndiGo Grounds Another A320 Neo Aircraft After ""Minor Snag"" In Engine",1
141,UN View On The European Migrant Crisis? There Isn't One,1
142,"6-Year-Old Kidnapped While Sleeping, Raped By Rickshaw Puller In UP",1
143,"PM Modi's Message To ""Hotel Motel Patel <i>Wallahs</i>"" In US Via Video Link",1
144,"Policeman, On Leave, Kidnapped And Killed By Terrorists In Kashmir",1
145,"""I'm 68 But I Am Fit Because..."": Venkaiah Naidu Reveals Health Secret",1
146,China Blames US For 'Largest-Scale Trade War' As Tariffs Kick In,1
147,US Job Growth Strong But Unemployment Rate Rises To 4 Per Cent,1
148,US Seeks Court Guidance On Deadlines To Reunite Migrant Families,1
149,Meghalaya Chief Minister Rubbishes Reports Of PDF Pulling Out Of Alliance,1
150,Yogi Adityanath Bans Plastic Bags In Uttar Pradesh From July 15,1
151,Agartala-Deoghar Express Flagged Off To Ease Journey Of Devotees,1
152,Woman <i>'Tantrik'</i> Geeta Maa Questioned In Delhi's Burari Deaths,1
153,Nuclear Deal Talks Set To Drag On As Iran Seeks More From World Powers,1
154,"Islam Will Collapse If Prayer In Mosque Not Recognised, Top Court Told",1
155,Suspected Nigerian Drug Peddler Shoots Self Accidentally In Police Raid,1
156,Telangana Allots 200 Acres Land To Women Entrepreneurs,1
157,"To Buy Liquor, Madhya Pradesh Man Kills Daughter, Shoots At Wife",1
158,"The Rise And Fall Of Nawaz Sharif, Pakistan's Three-Time Leader: Timeline",1
159,"""Russia Will Defend Its Interests In Trade War,"" Says Kremlin",1
160,"""Get Rahul Married To Brahmin Girl If He Wants To Be PM"": TDP Lawmaker",1
161,7 Maoists Surrender In Chhattisgarh's Sukma,1
162,"Indian Family In UAE Without Passports, Visa, Say ""Living Like Prisoners""",1
163,"Pigs, Paws And Pistachios: These US Goods Face Tariffs In China",1
164,"1,225 Stranded Kailash Mansarovar Pilgrims rescued from Nepal's Simikot",1
165,"1,225 Stranded Kailash Mansarovar Pilgrims rescued from Nepal's Simikot",1
166,"Nagpur Paralysed Due To Heavy Rain, Assembly Building Flooded",1
167,"""Returning To Pakistan"": Nawaz Sharif After Being Sentenced To 10 Years' Jail For Corruption",1
168,"Go ship, Go! China Roots For Last US Soybean Cargo To Land Before Tariffs",1
169,Police Access Call Details Of Delhi Family Found Hanging,1
170,A Syrian Girl Used Tin Cans For Legs. Now She Is Taking Her First Steps,1
171,"After A Passenger's Tweet, 26 Minor Girls Rescued From Train In UP",1
172,UK Police Hunt Object That Poisoned Couple With Nerve Agent,1
173,"Hindu Woman Contests Election In Pakistan, Creates History",1
174,Indian-Origin Woman Jailed Upto 3 Years For Role In US Navy Corruption,1
175,"Telangana Officer's House Raided, Assets Worth Rs 10 Crore Seized: Police",1
176,"UK Nurse, Who Was Arrested For Murdering Eight Babies, Released On Bail",1
177,Indian-Origin Woman Singapore Jailed For Role In US Navy Corruption Cases,1
178,"Christians Are <i>""Angrez""</i>, Didn't Help In Freedom Struggle: BJP Lawmaker",1
179,Allahabad High Court Reproaches Police On Lucknow University Vandalism,1
180,Legalising Gambling In Sports Will Create Lots Of Problems: CPI Leader,1
181,Case Registered Against Cop For Posting Objectionable Message On WhatsApp,1
182,China's First Home Built Aircraft Carrier To Embark On Second Sea Trial,1
183,Telangana Lawmaker Accused Of Sexual Harassment In Complaint Sent To PM,1
184,"Thai Boys Trapped In Cave Get Wishes, World Cup Invite From FIFA Boss",1
